namespace,table_name
across_v2_optimism,optimism_spokepool_evt_fundsdeposited
across_v2_optimism,uba_optimism_spokepool_evt_filledrelay
across_v2_optimism,uba_optimism_spokepool_evt_filledv3relay
across_v2_optimism,uba_optimism_spokepool_evt_fundsdeposited
across_v2_optimism,uba_optimism_spokepool_evt_v3fundsdeposited
across_v2_polygon,polygon_spokepool_evt_filledrelay
across_v2_polygon,polygon_spokepool_evt_fundsdeposited
across_v2_polygon,uba_polygon_spokepool_evt_filledrelay
across_v2_polygon,uba_polygon_spokepool_evt_filledv3relay
across_v2_polygon,uba_polygon_spokepool_evt_fundsdeposited
across_v2_polygon,uba_polygon_spokepool_evt_v3fundsdeposited
across_v2_zksync,zksync_spokepool_evt_filledrelay
across_v2_zksync,zksync_spokepool_evt_filledv3relay
across_v2_zksync,zksync_spokepool_evt_fundsdeposited
across_v2_zksync,zksync_spokepool_evt_v3fundsdeposited
across_v3_blast,blast_spokepool_evt_filledrelay
across_v3_blast,blast_spokepool_evt_filledv3relay
across_v3_blast,blast_spokepool_evt_fundsdeposited
across_v3_blast,blast_spokepool_evt_v3fundsdeposited
across_v3_bnb,universal_spokepool_evt_filledrelay
across_v3_bnb,universal_spokepool_evt_fundsdeposited
across_v3_ink,ink_spokepool_evt_filledrelay
across_v3_ink,ink_spokepool_evt_filledv3relay
across_v3_ink,ink_spokepool_evt_fundsdeposited
across_v3_ink,ink_spokepool_evt_v3fundsdeposited
across_v3_lens,lens_spokepool_evt_filledrelay
across_v3_lens,lens_spokepool_evt_fundsdeposited
across_v3_scroll,scroll_spokepool_evt_filledrelay
across_v3_scroll,scroll_spokepool_evt_filledv3relay
across_v3_scroll,scroll_spokepool_evt_fundsdeposited
across_v3_scroll,scroll_spokepool_evt_v3fundsdeposited
across_v3_unichain,unichain_spokepool_evt_filledrelay
across_v3_unichain,unichain_spokepool_evt_filledv3relay
across_v3_unichain,unichain_spokepool_evt_fundsdeposited
across_v3_unichain,unichain_spokepool_evt_v3fundsdeposited
across_v3_worldchain,worldchain_spokepool_evt_filledrelay
across_v3_worldchain,worldchain_spokepool_evt_filledv3relay
across_v3_worldchain,worldchain_spokepool_evt_fundsdeposited
across_v3_worldchain,worldchain_spokepool_evt_v3fundsdeposited
across_v3_zora,zora_spokepool_evt_filledrelay
across_v3_zora,zora_spokepool_evt_filledv3relay
across_v3_zora,zora_spokepool_evt_fundsdeposited
across_v3_zora,zora_spokepool_evt_v3fundsdeposited
addresses_ethereum,defi
addresses_ethereum,optimism_batchinbox_combinations
addresses_ethereum,optimism_outputoracle_combinations
addresses_events_abstract,first_funded_by
addresses_events_abstract,first_token_received
addresses_events_apechain,first_funded_by
addresses_events_apechain,first_token_received
addresses_events_arbitrum,first_funded_by
addresses_events_arbitrum,first_token_received
addresses_events_avalanche_c,first_funded_by
addresses_events_avalanche_c,first_token_received
addresses_events_base,first_funded_by
addresses_events_berachain,first_funded_by
addresses_events_berachain,first_token_received
addresses_events_blast,first_funded_by
addresses_events_blast,first_token_received
addresses_events_bnb,first_funded_by
addresses_events_bnb,first_token_received
addresses_events_celo,first_funded_by
addresses_events_ethereum,first_funded_by
addresses_events_ethereum,first_token_received
addresses_events_fantom,first_funded_by
addresses_events_fantom,first_token_received
addresses_events_gnosis,first_funded_by
addresses_events_gnosis,first_token_received
addresses_events_goerli,first_funded_by
addresses_events_goerli,first_token_received
addresses_events_hyperevm,first_funded_by
addresses_events_hyperevm,first_token_received
addresses_events_ink,first_funded_by
addresses_events_ink,first_token_received
addresses_events_katana,first_funded_by
addresses_events_katana,first_token_received
addresses_events_linea,first_funded_by
addresses_events_mantle,first_funded_by
addresses_events_mantle,first_token_received
addresses_events_mode,first_funded_by
addresses_events_mode,first_token_received
addresses_events_monad,first_funded_by
addresses_events_monad,first_token_received
addresses_events_nova,first_funded_by
addresses_events_nova,first_token_received
addresses_events_optimism,first_activity
addresses_events_optimism,first_funded_by
addresses_events_optimism,first_token_received
addresses_events_polygon,first_funded_by
addresses_events_ronin,first_funded_by
addresses_events_ronin,first_token_received
addresses_events_scroll,first_funded_by
addresses_events_sei,first_funded_by
addresses_events_sei,first_token_received
addresses_events_zkevm,first_funded_by
addresses_events_zkevm,first_token_received
addresses_events_zksync,first_funded_by
addresses_events_zksync,first_token_received
addresses_events_zora,first_funded_by
addresses_events_zora,first_token_received
addresses_optimism,fee_vaults
addresses_optimism,grants_funding
aerodrome_base,CLFactory_call_getSwapFee
aerodrome_base,CLFactory_evt_PoolCreated
aerodrome_base,CLPool_evt_Collect
aerodrome_base,CLPool_evt_CollectFees
aerodrome_base,CLPool_evt_Mint
aerodrome_base,CLPool_evt_Swap
aerodrome_base,PoolFactory_call_getFee
aerodrome_base,PoolFactory_evt_PoolCreated
aerodrome_base,Pool_evt_Burn
aerodrome_base,Pool_evt_Fees
aerodrome_base,Pool_evt_Mint
aerodrome_base,Pool_evt_Swap
aerodrome_base,Voter_evt_GaugeCreated
agave_gnosis,LendingPool_evt_Borrow
agave_gnosis,LendingPool_evt_Deposit
agave_gnosis,LendingPool_evt_FlashLoan
agave_gnosis,LendingPool_evt_LiquidationCall
agave_gnosis,LendingPool_evt_Repay
agave_gnosis,LendingPool_evt_Withdraw
agni_mantle,AgniPoolDeployer_call_deploy
agni_mantle,AgniPool_evt_Swap
airswap_arbitrum,SwapERC20_v4_evt_SwapERC20
airswap_arbitrum,swap_evt_Swap
airswap_avalanche_c,SwapERC20_v4_evt_SwapERC20
airswap_avalanche_c,swap_evt_Swap
airswap_bnb,Light_evt_Swap
airswap_bnb,SwapERC20_v4_evt_SwapERC20
airswap_bnb,Swap_v3_evt_Swap
airswap_ethereum,Light_evt_Swap
airswap_ethereum,Light_v0_evt_Swap
airswap_ethereum,SwapERC20_v4_evt_SwapERC20
airswap_ethereum,Swap_v3_evt_Swap
airswap_ethereum,swap_evt_Swap
airswap_polygon,SwapERC20_v4_evt_SwapERC20
airswap_polygon,Swap_v3_evt_Swap
akronswap_arbitrum,UniswapV2Factory_evt_PairCreated
akronswap_arbitrum,UniswapV2Pair_evt_Swap
akronswap_base,UniswapV2Factory_evt_PairCreated
akronswap_base,UniswapV2Pair_evt_Swap
alchemydao_ethereum,MerkleDistributor_evt_Claimed
alienbase_base,UniswapV2Factory_evt_PairCreated
alienbase_base,UniswapV2Pair_evt_Swap
alienbase_base,UniswapV3Factory_evt_PoolCreated
alienbase_base,UniswapV3Pool_evt_Swap
allbridge_avalanche_c,bridge_evt_sent
allbridge_ethereum,bridge_evt_sent
allbridge_fantom,bridge_evt_sent
allbridge_polygon,bridge_evt_sent
allbridge_tron,pool_evt_swappedtovusd
ape_store_base,Router_evt_CreateToken
ape_store_base,Router_evt_swap
ape_store_ethereum,Router_evt_CreateToken
ape_store_ethereum,Router_evt_swap
apechain,blocks
apechain,contracts
apechain,creation_traces # Added from original file
apechain,logs
apechain,logs_decoded
apechain,traces
apechain,traces_decoded
apechain,transactions
apechain_tokens_apechain,wape_evt_deposit
apechain_tokens_apechain,wape_evt_withdrawal
apecoin_ethereum,AirdropGrapesToken_evt_AirDrop
apeswap_arbitrum,ApeFactory_evt_PairCreated
apeswap_arbitrum,ApePair_evt_Swap
apeswap_bnb,ApeFactory_evt_PairCreated
apeswap_bnb,ApePair_evt_Swap
apeswap_ethereum,ApeFactory_evt_PairCreated
apeswap_ethereum,ApePair_evt_Swap
apeswap_polygon,ApeFactory_evt_PairCreated
apeswap_polygon,ApePair_evt_Swap
